"fiscal_year","prior_subject","ms_outcome","n_teachers","teachers_before","rate_pct"
"2018","Middle School Social Studies","Switched within middle school",244,2289,10.7
"2018","Middle School Social Studies","Moved to secondary",69,2289,3
"2018","Middle School Social Studies","Moved to elementary",62,2289,2.7
"2018","Middle School Social Studies","Taught a non-core subject",83,2289,3.6
"2018","Middle School Social Studies","Switcher",60,2289,2.6
"2018","Middle School Social Studies","Exiter",195,2289,8.5
"2019","Middle School English Language Arts","Same MS subject",1826,2467,74
"2019","Middle School English Language Arts","Switched within middle school",132,2467,5.4
"2019","Middle School English Language Arts","Moved to secondary",80,2467,3.2
"2019","Middle School English Language Arts","Moved to elementary",97,2467,3.9
"2019","Middle School English Language Arts","Taught a non-core subject",72,2467,2.9
"2019","Middle School English Language Arts","Switcher",74,2467,3
"2019","Middle School English Language Arts","Exiter",186,2467,7.5
"2019","Middle School Mathematics","Same MS subject",1667,2232,74.7
"2019","Middle School Mathematics","Switched within middle school",123,2232,5.5
"2019","Middle School Mathematics","Moved to secondary",88,2232,3.9
"2019","Middle School Mathematics","Moved to elementary",73,2232,3.3
"2019","Middle School Mathematics","Taught a non-core subject",63,2232,2.8
"2019","Middle School Mathematics","Switcher",56,2232,2.5
"2019","Middle School Mathematics","Exiter",162,2232,7.3
"2019","Middle School Science","Same MS subject",1491,2107,70.8
"2019","Middle School Science","Switched within middle school",175,2107,8.3
"2019","Middle School Science","Moved to secondary",72,2107,3.4
"2019","Middle School Science","Moved to elementary",67,2107,3.2
"2019","Middle School Science","Taught a non-core subject",73,2107,3.5
"2019","Middle School Science","Switcher",59,2107,2.8
"2019","Middle School Science","Exiter",170,2107,8.1
"2019","Middle School Social Studies","Same MS subject",1585,2354,67.3
"2019","Middle School Social Studies","Switched within middle school",232,2354,9.9
"2019","Middle School Social Studies","Moved to secondary",82,2354,3.5
"2019","Middle School Social Studies","Moved to elementary",85,2354,3.6
"2019","Middle School Social Studies","Taught a non-core subject",115,2354,4.9
"2019","Middle School Social Studies","Switcher",78,2354,3.3
"2019","Middle School Social Studies","Exiter",177,2354,7.5
"2020","Middle School English Language Arts","Same MS subject",1833,2536,72.3
"2020","Middle School English Language Arts","Switched within middle school",171,2536,6.7
"2020","Middle School English Language Arts","Moved to secondary",70,2536,2.8
"2020","Middle School English Language Arts","Moved to elementary",103,2536,4.1
"2020","Middle School English Language Arts","Taught a non-core subject",80,2536,3.2
"2020","Middle School English Language Arts","Switcher",85,2536,3.4
"2020","Middle School English Language Arts","Exiter",194,2536,7.6
"2020","Middle School Mathematics","Same MS subject",1682,2254,74.6
"2020","Middle School Mathematics","Switched within middle school",146,2254,6.5
"2020","Middle School Mathematics","Moved to secondary",69,2254,3.1
